Student ID,Student Name,Gender,Event Date,Age,City,Department,Event Type,Registration Date,Registration Channel,Payment Status,Attendance Status,Meal Preference,Registration Fee,Event Duration Hours,Feedback Rating
S10240,Ravi Patel,Other,2/25/2026,19,Chennai,Computer Science,Sports Meet,7/2/2026,Email,pending,Attended,Vegetarian,250,4,3
S11223,Arun Kumar,FEMALE,10/6/2026,22,Coimbatore,Commerce,Career Fair,15/04/2026,Walk-in,Refunded,cancelled,Non-Vegetarian,100,1.5,3
S12922,Suresh Kumar,Other,3/25/2026,19,Hyderabad ,Computer Science,SEMINAR,7/3/2026,Campus Desk,Refunded,Registered,Vegan,250,1,2
S10200,Vijay Menon, Female,1/18/2026,22,Trichy,  Management  ,Cultural Fest,11/1/2026,,PENDING,Cancelled,Non-Vegetarian,INR 200,1.5 hours,4
S10406,Ajay Nair,Female,4/13/2026,24,Pune,Electronics,Career Fair,25/03/2026,Website,waive,Cancelled,Vegetarian,250,4,4
S10593,Harini Iyer,Other,1/31/2026,-5,Coimbatore,Civil Engineering,Workshop,26/01/2026,Email,pending,Absent,Vegetarian,300,1,2
S12886,Pooja Das,Female,6/12/2026,20,Coimbatore,Mechanical,Hackathon,9/5/2026,Email,Refunded,Cancelled,No-meal,500,2.5,4
S12009,Swetha Menon,FEMALE,1/13/2026,21,,Arts,Cultural Fest,17/11/2025,Website,Refunded,Cancelled,No Meal,300,1.5,1
S12979,Karthik Rao,female,16/03/2026,17,Salem,Mechanical,Career Fair,11/3/2026,Website,Pending,Registered,Vegetarian,500,2,5
S10324,Pooja Das,Female,7/1/2026,19,Chennai,Commerce ,seminar,20/05/2026,Email,PAID,Absent,Vegan,INR 100,1.0 hours,1
S11879,Keerthi Rao,Other,8-Mar-26,26,Trichy,Management,Sports Meet,32/13/2026,Campus Desk,Pending,Registered,Vegetarian,500,1,5.0 / 5
S10503,Pooja Das,Other,4/30/2026,25,Pune,Electronics,Workshop,6/3/2026,Email,Refunded,Registered,No-meal,0,2,2
S12249,Pooja Das,Female,1-Jun-26,18,,Electronics,WORKSHOP,28/05/2026,Campus Desk,Paid,Registered,Vegetarian,100,6,3
S11578,Ravi Patel, Female,8/26/2026,22,Pune,Civil Engineering,Sports Meet,21/07/2026,Email,waive,Attended,Non-Vegetarian,0,2,1
S11966,Divya Iyer,Other,4/4/2026,24,Kochi,Civil Engineering, Hackathon,14/02/2026,Campus Desk,Paid,Attended,Vegan,200,4,3.0 / 5
S12805,Harini Iyer,Male,5/18/2026,19,Coimbatore,Commerce,Cultural Fest,11/5/2026,Mobile App,Paid,Registered,Vegan,750,2.5,4
S12749,Pooja Das,Female,3/21/2026,18,Trichy,Civil Engineering,Workshop,7/3/2026,Mobile App,PENDING,attended,Vegan,150,1,2
S10940,Meena Patel, Female,31/02/2026,19,Kochi,,SEMINAR,20/01/2026,Website,Paid,Attended,Non-Vegetarian,₹200,2.5 hr,3
S10459,Arun Kumar,Other,26/03/2026,19,Mysuru,Civil Engineering,Seminar,28/02/2026,Campus Desk,Paid,ATTENDED,Vegan,500,1,4
S12714,Deepa Sharma, Male,1-Sep-26,21,Mysuru,Arts,Workshop,17/07/2026,Email,waive,cancelled,Vegan,0,6,4.0 / 5
S10016,Vijay Menon,Female,3/13/2026,19,Bengaluru,Management,Cultural Fest,15/02/2026,Walk-in,Pending,Absent,Non-Vegetarian,250,2.5,3
S11514,Naveen Sharma,Female,17/06/2026,27,Mysuru,Mechanical,Seminar,3/5/2026,Website,Refunded,absent,Vegetarian,300,2.5,5
S10816,Deepa Sharma,Female,3/28/2026,24,Bengaluru,Computer Science,Sports Meet,19/03/2026,  Campus Desk  ,Refunded,Registered,Vegan,200,2,4.0 / 5
S12986,Keerthi Rao,Other,1/13/2026,24,Trichy,Management,Seminar,7/1/2026,Email,waive,Registered, No Meal,500,4,4
S10376,Anitha Nair,Female,5/5/2026,24,Bengaluru,Management,Seminar,28/03/2026,Mobile App,Refunded,Registered,Vegetarian,0,2.5,2
S10673,Deepa Sharma,Other,25-Aug-26,21,Trichy,Electronics,Sports Meet,24/08/2026,Email,Refunded,Registered,Non-Vegetarian,250 rupees,1.0 hr,2.0 / 5
S12158,Karthik Rao,Female,19-Mar-26,21,Pune,Electronics,Seminar,28/01/2026,Email,Refunded,cancelled,Vegan,500,2,5
S12759,Swetha Menon,male,4/30/2026,26,Chennai,Mechanical,Workshop,7/3/2026,Campus Desk,Pending,Absent,No Meal,750,4,3.0 / 5
S11493,Manoj Kumar, Male,2/5/2026,23,,Management,Cultural Fest,17/01/2026,Campus Desk,Pending,Attended,Non-Vegetarian,200,3,3
S12921,Vijay Menon,Female,15/03/2026,20,Chennai,Arts,Workshop,19/01/2026,Email,Pending,Cancelled,Vegetarian,Rs 300,4.0 hr,2
S11272,Arun Kumar,Female,28/07/2026,20,Chennai,Commerce,Workshop,28/06/2026,Mobile App,Waived,Attended,Vegetarian,750,1,2
S12609,Ravi Patel, Male,1/30/2026,26,Salem,Management,Workshop,18/12/2025,Campus Desk,Pending,Registered,Vegan,750,3,4
S11730,Divya Iyer,Female,20-Apr-26,24,Mysuru,Computer Science,Cultural Fest,18/03/2026,Website,pending,Attended,Vegan,0,3,3
S12601,Harini Iyer,Other,4/4/2026,20,Trichy,Civil Engineering,Hackathon,19/02/2026,Email,Waived,Registered,No-meal,100,4,3.0 / 5
S12483,Karthik Rao,Male,1/16/2026,19,Pune,Management,Workshop,20/12/2025,Email,Paid,Registered,  Vegan  ,100,1,5
S10143,Deepa Sharma,Female,8/29/2026,27,Bengaluru,Computer Science,Sports Meet,24/08/2026,Mobile App,Refunded,absent ,Vegetarian,₹250,3.0 hr,5.0 / 5
S10482,Meena Patel,Male,3/12/2026,26,Salem,Management,Seminar,11/1/2026,Website,Pending,Attended,Non-Vegetarian,200,3,3
S10332,Swetha Menon, Female,3/24/2026,25,Salem,Mechanical,Career Fair,4/3/2026,Mobile App,Waived,Absent,Vegetarian,300,6,1
S10074,Naveen Sharma,Female,13-Jul-26,17,Pune,Mechanical,WORKSHOP,2/6/2026,,Refunded,Attended,Non-Vegetarian,100,4,5
S10021,Manoj Kumar,Other,1/11/2026,22,Kochi,Management,Sports Meet,30/12/2025,Mobile App,Pending,Registered,No-meal,500,6,2
S11603,Priya Sharma,Female,5/30/2026,18,Salem,Mechanical,Cultural Fest,2/4/2026,Mobile App,Paid,Registered,No Meal ,300,2.5,2
S11157,Pooja Das,Other,8/28/2026,19,Madurai,Management,Workshop,17/08/2026,Website,PAID,cancelled,Vegan,INR 100,1.0 hr,3
S11080,Vijay Menon,Other,4-Apr-26,18,Coimbatore ,Civil Engineering,Workshop,27/03/2026,Walk-in,Pending,Cancelled,Vegetarian,₹750,1.0 hr,4
S11083,Suresh Kumar,Female,17/07/2026,22,Coimbatore,,Workshop,18/06/2026,Walk-in,Refunded,Absent,No Meal,0,3,4
S10857,Naveen Sharma,Other,6/8/2026,25,Pune,Commerce,Sports Meet,12/4/2026,  Walk-in  ,Waived,Cancelled,Vegan,200,6,2
S12170,  Swetha Menon  ,Female,24-Jun-26,26,Coimbatore,Arts,WORKSHOP,3/5/2026,Website,Refunded,Registered,Vegetarian ,INR 300,1.0 hours,4
S12535,Vijay Menon,Female,8/28/2026,18,Pune,Arts,Cultural Fest,24/07/2026,Mobile App,Waived,absent,Vegetarian,INR 500,3.0 hours,3
S11540,Keerthi Rao,Female,5/8/2026,17,Hyderabad,Commerce,Sports Meet,28/07/2026,Mobile App,Waived,Absent,Vegan,INR 250,2.5 hours,2
S10812,Naveen Sharma,Male,1/29/2026,17,Mysuru,Arts,Workshop,18/01/2026,Website,Paid,Attended, Vegan,0,1,3
S11687,Manoj Kumar,Female,15-Jan-26,25,Chennai,Arts,Workshop,18/12/2025,Mobile App,pending,Absent,Non-Vegetarian,300,2.5,5
S11296,Keerthi Rao,Female,3/16/2026,26,Kochi,Management,Cultural Fest,11/3/2026,Walk-in,Refunded,Registered,Non-Vegetarian,750,2.5,5
S10972,Vijay Menon,Other,4-Aug-26,21,Trichy,Commerce,Sports Meet,16/06/2026,Email,paid,Registered,Non-Vegetarian,₹0,2.0 hr,4
S12635,Vijay Menon,Other,7/14/2026,20,Hyderabad,Electronics,Seminar,13/06/2026,Campus Desk,Waived,Absent,Vegetarian,100,1.5,5
S10386,Lakshmi Rao,male,7/12/2026,17,Kochi,Arts,Career Fair,31/05/2026,Email,Waived,cancelled,No-meal,250,1.5,1
S11539,Rahul Menon,Female,10-May-26,22, Coimbatore,Mechanical,Cultural Fest,17/03/2026,Walk-in,Waived,Registered,Non-Vegetarian,500,2,4
S11469,Arun Kumar,Other,2/8/2026,19,Coimbatore,Management,Hackathon,19/12/2025,Mobile App,waive,Registered, Vegetarian,150,4,2
S10102,Divya Iyer,,29-Jul-26,19,Madurai,Mechanical,Seminar,23/06/2026,Website,waive,Absent,No Meal,100,1,3
S10708,Keerthi Rao,Female,5/19/2026,24,Trichy,  Commerce  ,Hackathon,3/4/2026,Mobile App,Waived,Registered,Non-Vegetarian,0,2,4
S10622,Pooja Das,MALE,4/16/2026,18,Coimbatore,Arts,Workshop,14/04/2026,Campus Desk,Refunded,ABSENT,Vegan,150,6,3
S12018,Deepa Sharma,Other,24-Mar-26,27,Kochi,Computer Science,Workshop,9/3/2026,Mobile App,Refunded,Registered,No Meal,150,1,3
S12734,Lakshmi Rao,Male,24-May-26,25,Salem,Electronics,Cultural Fest,12/4/2026,Email,Pending,Registered,No Meal,500,4,1
S10029,Manoj Kumar,Male,7/20/2026,25,Mysuru,Management,Seminar,31/05/2026,Email,waive,Registered,Vegan,₹750,4.0 hours,2.0 / 5
S12326,Manoj Kumar,Other,15-May-26,23,Madurai,Commerce,  Sports Meet  ,2/5/2026,Walk-in,Pending,Attended,Vegetarian,200,1.5,5
S10731,Swetha Menon,Female,9-Feb-26,20,Pune,Civil Engineering,Sports Meet,8/1/2026,Campus Desk,Refunded,Attended,Non-Vegetarian,Rs 0,1.5 hr,3
S10868,Arun Kumar,Other,2/5/2026,26,Madurai,Civil Engineering,Seminar,6/4/2026,  Mobile App  ,Refunded,absent ,Vegan,150,2.5,4
S10994,Karthik Rao, Male,20-Aug-26,18,,Computer Science,  Sports Meet  ,7/8/2026,Website,waive,Registered,Non-Vegetarian,150,6,2
S12359,Deepa Sharma,Female,1/12/2026,21,Bengaluru,Computer Science,Career Fair,30/12/2025,Website,Refunded,cancelled,Vegetarian,300,2.5,5
S12887,Keerthi Rao,Other,14/07/2026,18,Coimbatore,Computer Science,Hackathon,26/05/2026,Walk-in,Paid,Registered,Non-Vegetarian,300,2.5,5
S10733,Divya Iyer, Female,5/9/2026,27,Kochi,Mechanical,WORKSHOP,28/03/2026,Mobile App,Refunded,Cancelled,Vegetarian,500,2.5,1
S12542,Lakshmi Rao,Male,1/23/2026,23,   ,Electronics,Workshop,13/12/2025,Email,Paid,absent ,,250,2.5,4
S12141,Anitha Nair,Male,20-Jul-26,26,Kochi,Mechanical,Career Fair,4/7/2026,Walk-in,Waived,absent ,Non-Vegetarian,150,2.5,1
S10572,Vikram Das,FEMALE,1/16/2026,20,Mysuru,Computer Science,Workshop,7/1/2026,Walk-in,Refunded,Registered,Non-Vegetarian,Rs 500,3.0 hours,3
S12354,Naveen Sharma,Male,15/07/2026,26,Chennai,Civil Engineering,Hackathon,17/05/2026,Email,Pending,Registered,Vegan,100,1.5,5
S10739,Rahul Menon,Female,7/1/2026,17,Kochi,Civil Engineering,Workshop,10/5/2026,Campus Desk,Waived,Absent,Non-Vegetarian,300,3,4
S11759,Anitha Nair,Female,6/2/2026,23,Hyderabad,Management,Sports Meet,7/4/2026,Walk-in,Pending,Absent,No-meal,0,4,1.0 / 5
S12374,Priya Sharma,Male,7/11/2026,25,Mysuru,Commerce,Sports Meet,5/6/2026,Campus Desk,Refunded,Registered,Non-Vegetarian,300 rupees,4.0 hours,3.0 / 5
S10481,Vikram Das,FEMALE,14-Jan-26,24,Bengaluru,Management,Sports Meet,27/12/2025,Mobile App,pending,Cancelled,Vegan,200,1,2
S10532,Divya Iyer,Other,6/26/2026,18,Hyderabad,Electronics,Workshop,8/5/2026,Campus Desk,PENDING,absent ,No-meal,0,1,3
S10855,Karthik Rao,Male,5/29/2026,17,Pune,Arts,Career Fair,28/04/2026,Campus Desk,Pending,Registered, No Meal,300,3,1.0 / 5
S12630,Keerthi Rao,Other,7/2/2026,27,Kochi,Management,Cultural Fest,21/01/2026,Website,waive,Cancelled,No Meal,500,4,3.0 / 5
S11107,Vijay Menon,Male,5/1/2026,18,Bengaluru,Computer Science,Hackathon,7/3/2026,Campus Desk,Refunded,Registered,Vegan,750,2.5,1
S11758,Vijay Menon,Male,2/2/2026,23,Mysuru,Commerce,Sports Meet,11/1/2026,Campus Desk,Refunded,Absent,No Meal,250,1.5,5.0 / 5
S11596,Naveen Sharma,male,7/16/2026,17,Mysuru,Commerce,Hackathon,18/06/2026,Email,Waived,attended,Non-Vegetarian,250,3,1
S10692,Arun Kumar,Male,12/2/2026,19,Madurai,Arts,Seminar,11/1/2026,Mobile App,Pending,Absent,No Meal,750,2,2
S12238,Keerthi Rao,Female,2/16/2026,23,Chennai,Management,Sports Meet,8/2/2026,Walk-in,Paid,Registered,Non-Vegetarian,0,1,3
S11534,Rahul Menon,Other,2/26/2026,20,Bengaluru,Commerce,Cultural Fest,4/2/2026,Website,Refunded,absent ,No Meal,150,1.5,2
S11226,Harini Iyer,,5/3/2026,21,Hyderabad,Arts,Workshop,17/04/2026,Campus Desk,Waived,Attended,No-meal,750,3,3
S11021,Naveen Sharma,Female,4/9/2026,17,Salem,Civil Engineering,Sports Meet,16/03/2026,Website,Pending,Attended,No-meal,750,3,3
S10539,Divya Iyer,Male,18/06/2026,23,Coimbatore,Management,Sports Meet,27/05/2026,Website,Waived,Registered,Vegetarian,500,4,5
S11593,Meena Patel,Other,7/1/2026,25,Mysuru,Mechanical,Hackathon,27/06/2026,Email,Pending,Absent,Vegetarian,300,2.5,2
S11423,Lakshmi Rao,Female,8/2/2026,18,Mysuru,Computer Science,Career Fair,12/7/2026,Campus Desk,Paid,Cancelled,Vegan,INR 300,6.0 hours,3
S11004,Suresh Kumar,Female,1-May-26,18,Chennai,Arts,Cultural Fest,16/04/2026,Website,Pending,Registered,Non-Vegetarian,150,2,3.0 / 5
S10487,Priya Sharma,Other,3/21/2026,23,Mysuru,  Electronics  ,workshop,25/01/2026,Website,Paid,Attended,Vegetarian,500 rupees,1.0 hr,5
S10162,Ravi Patel,Female,27/07/2026,20,Mysuru,Management,Cultural Fest,8/6/2026,Email,PENDING,Attended,Vegetarian,250,1,3
S10754,Arun Kumar,Female,6-May-26,24,Madurai,Arts,Hackathon,21/03/2026,Walk-in,waive,Registered,Vegan,250,1.5,2
S11365,Manoj Kumar,FEMALE,1/4/2026,17,Kochi,Electronics,Workshop,2/2/2026,Walk-in,Refunded,absent ,Vegetarian,200,4,2.0 / 5
S12649,Pooja Das,Female,5-Aug-26,22,Coimbatore,Commerce,Workshop,18/06/2026,Campus Desk,Paid,Absent,Vegan,500,2.5,1
S12124,Rahul Menon,Male,25-Mar-26,24,Kochi,Arts,Career Fair,7/2/2026,Website,PENDING,cancelled, Non-Vegetarian,0,2,1
S12965,Arun Kumar,Male,7/3/2026,23,Mysuru,Commerce,Career Fair,4/6/2026,Campus Desk,Refunded,Cancelled,Non-Vegetarian,200,1.5,5
S12017,Lakshmi Rao, Male,5/1/2026,26,Trichy,Computer Science,Sports Meet,22/03/2026,Email ,Pending,Attended,No-meal,500,2.5,
S10492,Anitha Nair,Male,7/12/2026,22,Chennai,Mechanical,Career Fair,23/05/2026,Email,PENDING,Registered,No Meal,500,1.5,4.0 / 5
S12564,Pooja Das,male,16/04/2026,24,Trichy,,Sports Meet,11/3/2026,Walk-in,pending,cancelled,Non-Vegetarian,750,3,2.0 / 5
S10782,Ajay Nair,Other,30-Mar-26,24,Madurai,Commerce,Hackathon,28/03/2026,Walk-in,waive,Attended,Vegetarian,0,4,2
S10999,Deepa Sharma,Male,4-Jun-26,21,Pune,Electronics,WORKSHOP,14/04/2026,Walk-in,Refunded,Registered,Non-Vegetarian,250,4,
S10886,Pooja Das,male,5/6/2026,21,Mysuru,Civil Engineering,Hackathon,3/5/2026,Website,Waived,Attended,No-meal,500,3,4.0 / 5
S10035,Pooja Das,Other,30/08/2026,26,Hyderabad,Mechanical,Hackathon,10/8/2026,Mobile App,waive,Attended,Vegetarian,500,2.5,2
S11019,Vikram Das, Female,26/07/2026,20,Coimbatore,Civil Engineering,Hackathon,30/06/2026,Mobile App,Pending,Registered,Vegan,200,3,5.0 / 5
S10624,Harini Iyer,Male,28-Jun-26,23,Hyderabad,Mechanical,Sports Meet,10/5/2026,,waive,Attended,No Meal,300,6,3
S12669,Manoj Kumar,MALE,7/13/2026,21,Pune,Electronics,Sports Meet,19/06/2026,Email,Pending,Registered,Vegan,200,4,3
S10304,Naveen Sharma,Male,4/29/2026,17,Trichy,Arts,seminar,3/4/2026,Email,waive,absent ,No Meal,0,2,5
S12179,Deepa Sharma,Male,12-Jun-26,18,,Civil Engineering,Career Fair,7/6/2026,Campus Desk,waive,Cancelled,Vegan,0,2.5,4
S12964,Deepa Sharma,Male,4/18/2026,26,Mysuru,Arts,Cultural Fest,6/3/2026,Campus Desk,Refunded,Registered,Vegan,500,4,3.0 / 5
S12388,Deepa Sharma,male,6/4/2026,20,Mysuru,Electronics,Career Fair,13/05/2026,Campus Desk,Pending,Cancelled,Vegan,100,6,2
S11243,Swetha Menon,Other,2/21/2026,27,Coimbatore,Arts,Cultural Fest,31/01/2026,Mobile App,PAID,Absent,No Meal,100,2,
S11185,Ravi Patel,male,13/05/2026,19,Hyderabad,Arts,workshop,16/04/2026,Mobile App,Pending,Attended,Vegan,₹750,4.0 hr,2.0 / 5
S11524,Meena Patel,Male,22/06/2026,26,Hyderabad,Electronics,Seminar,12/6/2026,Website,Pending,Registered,,300,4,5.0 / 5
S10592,Meena Patel,Other,2-Mar-26,19,Hyderabad,,Workshop,4/2/2026,Mobile App,Pending,Cancelled,Vegetarian,100,6,
S12407,Harini Iyer,MALE,22/02/2026,21,Chennai,Management,Workshop,28/12/2025,Email,Refunded,Absent,Non-Vegetarian,150,1.5,3
S10823,Harini Iyer,Other,4/16/2026,20,,Electronics,Sports Meet,22/02/2026,Campus Desk,waive,Attended,Vegetarian,100,3,4.0 / 5
S10437,Manoj Kumar,Female,5/5/2026,19,Mysuru,Mechanical,Workshop,18/04/2026,Website,PENDING,Registered,Vegetarian,750,2.5,1
S12294,Harini Iyer,Other,6/19/2026,25,Hyderabad,Commerce,Hackathon,7/6/2026,Mobile App,Refunded,Absent,Vegan,200,6,2
S12721,Manoj Kumar,male,31-Aug-26,23,Mysuru,Management,Seminar,8/8/2026,Walk-in,Paid,cancelled,Vegan,250,2.5,2.0 / 5
S11429,Lakshmi Rao,Male,5/18/2026,20,Trichy,Electronics ,Cultural Fest,19/03/2026,Campus Desk,Refunded,Registered,,750,4,5
S10027,Anitha Nair,Male,21/04/2026,27,Madurai,Computer Science,Seminar,23/02/2026,Mobile App,Refunded,Attended,No-meal,INR 200,4.0 hr,4.0 / 5
S10510,Deepa Sharma,Male,6/24/2026,18,Bengaluru,Management,Cultural Fest,26/04/2026,Mobile App,Pending,Absent,Vegan,200,2.5,4
S10898, Vikram Das,male,4/14/2026,18,Hyderabad,Commerce,Workshop,24/03/2026,Campus Desk,Paid,cancelled,No Meal,150,1.5,1
S12028,Vikram Das,Other,,17,Madurai,Commerce,Hackathon,17/07/2026,Walk-in,Refunded,absent,No Meal,200,1.5,2
S11597,Deepa Sharma,FEMALE,7/26/2026,20,Trichy,Commerce,Workshop,1/6/2026,Website,Refunded,Registered,Vegetarian,300,1,4.0 / 5
S11127,Arun Kumar,Other,1/5/2026,22,Kochi,,Hackathon,18/12/2025,Walk-in,Paid,Registered,Vegetarian,₹150,1.0 hours,2
S12076,Ajay Nair,Other,8/24/2026,27,Chennai,Commerce,Seminar,7/7/2026,Website,Paid,Attended,Vegan,500,3,4
S10250,Rahul Menon,Other,12-Apr-26,27,Pune,Computer Science,Sports Meet,17/03/2026,Walk-in,Paid,Absent,No-meal,₹0,2.5 hours,2
S11536,Arun Kumar,Other,16-Aug-26,18,Chennai,Management,Workshop,31/07/2026,Email,waive,Registered,Non-Vegetarian,200 rupees,1.5 hours,3
S11776,Deepa Sharma,Other,11/7/2026,26,Chennai,Computer Science,Workshop,27/06/2026,Walk-in,Refunded,ATTENDED,Vegetarian,150,2.5,5
S10025,Divya Iyer,Other,2/23/2026,27,Hyderabad,Electronics,Sports Meet,27/01/2026,Walk-in,Refunded,Absent,Non-Vegetarian,500,4,2
S11072,Rahul Menon,Other,31/08/2026,26,Mysuru,Mechanical,Workshop,8/8/2026,Website,Refunded,Registered,Non-Vegetarian,200,6,4.0 / 5
S12305,Keerthi Rao,Other,7/5/2026,18,Kochi,Management,Seminar,28/06/2026,Campus Desk,waive,Registered,Vegetarian,INR 150,3.0 hours,1.0 / 5
S11258,Karthik Rao,Female,,23,Salem,Commerce,Seminar,15/04/2026,Mobile App,Refunded,attended,Non-Vegetarian,500,2.5,1
S10339,Karthik Rao,Male,5/25/2026,21,Coimbatore,Computer Science,Hackathon,4/5/2026,Campus Desk,PAID,Registered,Vegan,150,4,3.0 / 5
S10553,Harini Iyer,Male,6/16/2026,27,Mysuru,Electronics,workshop,2/5/2026,Mobile App,Pending,Attended,Vegan,200 rupees,4.0 hours,3
S12053,Meena Patel,Other,4/21/2026,17,Bengaluru,Arts,Cultural Fest,19/03/2026,Mobile App,waive,Cancelled,No Meal,300,6,1.0 / 5
S12814,Meena Patel,FEMALE,5/27/2026,21,Trichy,Computer Science, Career Fair,9/4/2026,,PAID,absent ,Vegan,0,1.5,5.0 / 5
S11941,Swetha Menon,Male,3/7/2026,27,Hyderabad,Management,Seminar,3/2/2026,Email,Pending,ABSENT,Non-Vegetarian,750,2,5.0 / 5
S11826,Vikram Das,Female,14/07/2026,19,Chennai,Arts,Workshop,11/6/2026,Walk-in,Refunded,Registered,Vegetarian,150,4,3.0 / 5
S11747,Ajay Nair,MALE,2/23/2026,19,Trichy,Electronics,Cultural Fest,5/1/2026,Website,Refunded,Attended,Non-Vegetarian,0,2.5,1
S12055,Deepa Sharma, Female,1/14/2026,26,Madurai,Commerce,Seminar,11/12/2025,Website,Pending,attended,No Meal,300,4,1
S11535, Deepa Sharma,Female,2/3/2026,24,Coimbatore,Civil Engineering,Workshop,2/1/2026,Email ,Waived,Absent,No Meal,100,1,3
S12421,Deepa Sharma,Male,8/6/2026,21,Trichy,Commerce,Workshop,24/06/2026,Email,Refunded,Cancelled,No Meal,750,1.5,1.0 / 5
S12178,Harini Iyer ,Other,23-Apr-26,23,Hyderabad,Mechanical,Career Fair,3/3/2026,Campus Desk,Pending,Absent,Vegetarian,750,2,1
S11504,Ravi Patel,Male,8-Jun-26,20,Mysuru,Electronics,Sports Meet,3/6/2026,,waive,cancelled,Non-Vegetarian,100,1,4
S11471,Suresh Kumar,Female,7/22/2026,22,Kochi,Electronics,Workshop,28/05/2026,Website,Pending,Registered,Non-Vegetarian,100,2.5,3
S11342,Arun Kumar,Male,2/22/2026,18,Trichy,Mechanical,Sports Meet,11/2/2026,Walk-in,Pending,cancelled,Vegetarian,100,2,2.0 / 5
S12482,Meena Patel,Other,10/2/2026,27,Madurai,Commerce,Career Fair,14/01/2026,Website,Waived,Cancelled,Vegetarian,150,6,2.0 / 5
S12281,Ajay Nair,Other,20/03/2026,18,Bengaluru,Computer Science,Cultural Fest,1/3/2026,Mobile App,Pending,ATTENDED,Vegan,250,1.5,4
S11602,Naveen Sharma,male,7/31/2026,24,Chennai,Mechanical,Cultural Fest,26/07/2026,Email,pending,absent ,Vegan,200,6,2
S11873,Meena Patel,Male,8/15/2026,23,Trichy,Electronics,Cultural Fest,7/7/2026,Walk-in,Refunded,Absent,Non-Vegetarian,Rs 300,3.0 hr,4
S10369,Vijay Menon,Other,29/07/2026,23,Coimbatore,Computer Science,Sports Meet,16/07/2026,Website,Refunded,Registered,Vegetarian,₹300,6.0 hr,4.0 / 5
S12899,Vijay Menon,Female,8/19/2026,23,Trichy,Arts,Workshop,24/07/2026,Walk-in,Refunded,Absent,Vegetarian,Rs 100,3.0 hr,1
S12233,Harini Iyer,Male,7-Mar-26,18,Madurai,Arts,Workshop,28/01/2026,Mobile App,Paid,Attended,Non-Vegetarian,300,1.5,2
S11531,Anitha Nair,Other,4/11/2026,24,   ,Management,Cultural Fest,23/03/2026,Email,Paid,cancelled,Vegan,INR 250,6.0 hours,2
S10062,Pooja Das,Female,1/8/2026,25,Bengaluru,Civil Engineering,Seminar,22/12/2025,Email,waive,Attended,No-meal,100,2.5,3
S11895,Anitha Nair,Other,8/21/2026,19,Hyderabad,Management,Career Fair,24/07/2026,Walk-in,Refunded,Registered,Vegan,200 rupees,4.0 hours,
S10191,Ajay Nair,Female,3/27/2026,20,Salem,Electronics,Cultural Fest,16/02/2026,Email,waive,Registered,Vegetarian,INR 0,6.0 hours,3
