student_id,student_name,gender,event_date,age,city,department,event_type,registration_date,registration_channel,payment_status,attendance_status,meal_preference,registration_fee,event_duration_hours,feedback_rating
s10200,vijay menon,female,2026-01-18,22,trichy,management,cultural fest,2026-11-01,unknown,pending,cancelled,non-vegetarian,200.0,2.5,4.0
s10406,ajay nair,female,2026-04-13,24,pune,electronics,career fair,2026-03-25,website,waived,cancelled,vegetarian,250.0,4.0,4.0
s10593,harini iyer,other,2026-01-31,22,coimbatore,civil engineering,workshop,2026-01-26,email,pending,absent,vegetarian,300.0,1.0,2.0
s12886,pooja das,female,2026-06-12,20,coimbatore,mechanical,hackathon,2026-09-05,email,refunded,cancelled,no-meal,500.0,2.5,4.0
s12009,swetha menon,female,2026-01-13,21,unknown,arts,cultural fest,2025-11-17,website,refunded,cancelled,no-meal,300.0,1.5,1.0
s12979,karthik rao,female,2026-03-16,17,salem,mechanical,career fair,2026-11-03,website,pending,registered,vegetarian,500.0,2.0,5.0
s10324,pooja das,female,2026-07-01,19,chennai,commerce,seminar,2026-05-20,email,paid,absent,vegan,200.0,2.5,1.0
s11879,keerthi rao,other,2026-03-08,26,trichy,management,sports meet,1900-01-01,campus desk,pending,registered,vegetarian,500.0,1.0,3.0
s10503,pooja das,other,2026-04-30,25,pune,electronics,workshop,2026-06-03,email,refunded,registered,no-meal,0.0,2.0,2.0
s12249,pooja das,female,2026-06-01,18,unknown,electronics,workshop,2026-05-28,campus desk,paid,registered,vegetarian,100.0,6.0,3.0
s11578,ravi patel,female,2026-08-26,22,pune,civil engineering,sports meet,2026-07-21,email,waived,attended,non-vegetarian,0.0,2.0,1.0
s11966,divya iyer,other,2026-04-04,24,kochi,civil engineering,hackathon,2026-02-14,campus desk,paid,attended,vegan,200.0,4.0,3.0
s12805,harini iyer,male,2026-05-18,19,coimbatore,commerce,cultural fest,2026-11-05,mobile app,paid,registered,vegan,750.0,2.5,4.0
s12749,pooja das,female,2026-03-21,18,trichy,civil engineering,workshop,2026-07-03,mobile app,pending,attended,vegan,150.0,1.0,2.0
s10940,meena patel,female,1900-01-01,19,kochi,unknown,seminar,2026-01-20,website,paid,attended,non-vegetarian,200.0,2.5,3.0
s10459,arun kumar,other,2026-03-26,19,mysuru,civil engineering,seminar,2026-02-28,campus desk,paid,attended,vegan,500.0,1.0,4.0
s12714,deepa sharma,male,2026-09-01,21,mysuru,arts,workshop,2026-07-17,email,waived,cancelled,vegan,0.0,6.0,3.0
s10016,vijay menon,female,2026-03-13,19,bengaluru,management,cultural fest,2026-02-15,walk-in,pending,absent,non-vegetarian,250.0,2.5,3.0
s11514,naveen sharma,female,2026-06-17,27,mysuru,mechanical,seminar,2026-03-05,website,refunded,absent,vegetarian,300.0,2.5,5.0
s10816,deepa sharma,female,2026-03-28,24,bengaluru,computer science,sports meet,2026-03-19,campus desk,refunded,registered,vegan,200.0,2.0,3.0
s12986,keerthi rao,other,2026-01-13,24,trichy,management,seminar,2026-07-01,email,waived,registered,no-meal,500.0,4.0,4.0
s10376,anitha nair,female,2026-05-05,24,bengaluru,management,seminar,2026-03-28,mobile app,refunded,registered,vegetarian,0.0,2.5,2.0
s10673,deepa sharma,other,2026-08-25,21,trichy,electronics,sports meet,2026-08-24,email,refunded,registered,non-vegetarian,200.0,2.5,3.0
s12158,karthik rao,female,2026-03-19,21,pune,electronics,seminar,2026-01-28,email,refunded,cancelled,vegan,500.0,2.0,5.0
s12759,swetha menon,male,2026-04-30,26,chennai,mechanical,workshop,2026-07-03,campus desk,pending,absent,no-meal,750.0,4.0,3.0
s11493,manoj kumar,male,2026-02-05,23,unknown,management,cultural fest,2026-01-17,campus desk,pending,attended,non-vegetarian,200.0,3.0,3.0
s12921,vijay menon,female,2026-03-15,20,chennai,arts,workshop,2026-01-19,email,pending,cancelled,vegetarian,200.0,2.5,2.0
s11272,arun kumar,female,2026-07-28,20,chennai,commerce,workshop,2026-06-28,mobile app,waived,attended,vegetarian,750.0,1.0,2.0
s12609,ravi patel,male,2026-01-30,26,salem,management,workshop,2025-12-18,campus desk,pending,registered,vegan,750.0,3.0,4.0
s11730,divya iyer,female,2026-04-20,24,mysuru,computer science,cultural fest,2026-03-18,website,pending,attended,vegan,0.0,3.0,3.0
s12601,harini iyer,other,2026-04-04,20,trichy,civil engineering,hackathon,2026-02-19,email,waived,registered,no-meal,100.0,4.0,3.0
s12483,karthik rao,male,2026-01-16,19,pune,management,workshop,2025-12-20,email,paid,registered,vegan,100.0,1.0,5.0
s10143,deepa sharma,female,2026-08-29,27,bengaluru,computer science,sports meet,2026-08-24,mobile app,refunded,absent,vegetarian,200.0,2.5,3.0
s10482,meena patel,male,2026-03-12,26,salem,management,seminar,2026-11-01,website,pending,attended,non-vegetarian,200.0,3.0,3.0
s10332,swetha menon,female,2026-03-24,25,salem,mechanical,career fair,2026-04-03,mobile app,waived,absent,vegetarian,300.0,6.0,1.0
s10074,naveen sharma,female,2026-07-13,17,pune,mechanical,workshop,2026-02-06,unknown,refunded,attended,non-vegetarian,100.0,4.0,5.0
s10021,manoj kumar,other,2026-01-11,22,kochi,management,sports meet,2025-12-30,mobile app,pending,registered,no-meal,500.0,6.0,2.0
s11603,priya sharma,female,2026-05-30,18,salem,mechanical,cultural fest,2026-02-04,mobile app,paid,registered,no-meal,300.0,2.5,2.0
s11157,pooja das,other,2026-08-28,19,madurai,management,workshop,2026-08-17,website,paid,cancelled,vegan,200.0,2.5,3.0
s11080,vijay menon,other,2026-04-04,18,coimbatore,civil engineering,workshop,2026-03-27,walk-in,pending,cancelled,vegetarian,200.0,2.5,4.0
s11083,suresh kumar,female,2026-07-17,22,coimbatore,unknown,workshop,2026-06-18,walk-in,refunded,absent,no-meal,0.0,3.0,4.0
s10857,naveen sharma,other,2026-06-08,25,pune,commerce,sports meet,2026-12-04,walk-in,waived,cancelled,vegan,200.0,6.0,2.0
s12170,swetha menon,female,2026-06-24,26,coimbatore,arts,workshop,2026-03-05,website,refunded,registered,vegetarian,200.0,2.5,4.0
s12535,vijay menon,female,2026-08-28,18,pune,arts,cultural fest,2026-07-24,mobile app,waived,absent,vegetarian,200.0,2.5,3.0
s11540,keerthi rao,female,2026-05-08,17,hyderabad,commerce,sports meet,2026-07-28,mobile app,waived,absent,vegan,200.0,2.5,2.0
s10812,naveen sharma,male,2026-01-29,17,mysuru,arts,workshop,2026-01-18,website,paid,attended,vegan,0.0,1.0,3.0
s11687,manoj kumar,female,2026-01-15,25,chennai,arts,workshop,2025-12-18,mobile app,pending,absent,non-vegetarian,300.0,2.5,5.0
s11296,keerthi rao,female,2026-03-16,26,kochi,management,cultural fest,2026-11-03,walk-in,refunded,registered,non-vegetarian,750.0,2.5,5.0
s10972,vijay menon,other,2026-08-04,21,trichy,commerce,sports meet,2026-06-16,email,paid,registered,non-vegetarian,200.0,2.5,4.0
s12635,vijay menon,other,2026-07-14,20,hyderabad,electronics,seminar,2026-06-13,campus desk,waived,absent,vegetarian,100.0,1.5,5.0
s10386,lakshmi rao,male,2026-07-12,17,kochi,arts,career fair,2026-05-31,email,waived,cancelled,no-meal,250.0,1.5,1.0
s11539,rahul menon,female,2026-05-10,22,coimbatore,mechanical,cultural fest,2026-03-17,walk-in,waived,registered,non-vegetarian,500.0,2.0,4.0
s11469,arun kumar,other,2026-02-08,19,coimbatore,management,hackathon,2025-12-19,mobile app,waived,registered,vegetarian,150.0,4.0,2.0
s10102,divya iyer,unknown,2026-07-29,19,madurai,mechanical,seminar,2026-06-23,website,waived,absent,no-meal,100.0,1.0,3.0
s10708,keerthi rao,female,2026-05-19,24,trichy,commerce,hackathon,2026-03-04,mobile app,waived,registered,non-vegetarian,0.0,2.0,4.0
s10622,pooja das,male,2026-04-16,18,coimbatore,arts,workshop,2026-04-14,campus desk,refunded,absent,vegan,150.0,6.0,3.0
s12018,deepa sharma,other,2026-03-24,27,kochi,computer science,workshop,2026-09-03,mobile app,refunded,registered,no-meal,150.0,1.0,3.0
s12734,lakshmi rao,male,2026-05-24,25,salem,electronics,cultural fest,2026-12-04,email,pending,registered,no-meal,500.0,4.0,1.0
s10029,manoj kumar,male,2026-07-20,25,mysuru,management,seminar,2026-05-31,email,waived,registered,vegan,200.0,2.5,3.0
s12326,manoj kumar,other,2026-05-15,23,madurai,commerce,sports meet,2026-02-05,walk-in,pending,attended,vegetarian,200.0,1.5,5.0
s10731,swetha menon,female,2026-02-09,20,pune,civil engineering,sports meet,2026-08-01,campus desk,refunded,attended,non-vegetarian,200.0,2.5,3.0
s10868,arun kumar,other,2026-02-05,26,madurai,civil engineering,seminar,2026-06-04,mobile app,refunded,absent,vegan,150.0,2.5,4.0
s10994,karthik rao,male,2026-08-20,18,unknown,computer science,sports meet,2026-07-08,website,waived,registered,non-vegetarian,150.0,6.0,2.0
s12359,deepa sharma,female,2026-01-12,21,bengaluru,computer science,career fair,2025-12-30,website,refunded,cancelled,vegetarian,300.0,2.5,5.0
s12887,keerthi rao,other,2026-07-14,18,coimbatore,computer science,hackathon,2026-05-26,walk-in,paid,registered,non-vegetarian,300.0,2.5,5.0
s10733,divya iyer,female,2026-05-09,27,kochi,mechanical,workshop,2026-03-28,mobile app,refunded,cancelled,vegetarian,500.0,2.5,1.0
s12542,lakshmi rao,male,2026-01-23,23,unknown,electronics,workshop,2025-12-13,email,paid,absent,unknown,250.0,2.5,4.0
s12141,anitha nair,male,2026-07-20,26,kochi,mechanical,career fair,2026-04-07,walk-in,waived,absent,non-vegetarian,150.0,2.5,1.0
s10572,vikram das,female,2026-01-16,20,mysuru,computer science,workshop,2026-07-01,walk-in,refunded,registered,non-vegetarian,200.0,2.5,3.0
s12354,naveen sharma,male,2026-07-15,26,chennai,civil engineering,hackathon,2026-05-17,email,pending,registered,vegan,100.0,1.5,5.0
s10739,rahul menon,female,2026-07-01,17,kochi,civil engineering,workshop,2026-10-05,campus desk,waived,absent,non-vegetarian,300.0,3.0,4.0
s11759,anitha nair,female,2026-06-02,23,hyderabad,management,sports meet,2026-07-04,walk-in,pending,absent,no-meal,0.0,4.0,3.0
s12374,priya sharma,male,2026-07-11,25,mysuru,commerce,sports meet,2026-05-06,campus desk,refunded,registered,non-vegetarian,200.0,2.5,3.0
s10481,vikram das,female,2026-01-14,24,bengaluru,management,sports meet,2025-12-27,mobile app,pending,cancelled,vegan,200.0,1.0,2.0
s10532,divya iyer,other,2026-06-26,18,hyderabad,electronics,workshop,2026-08-05,campus desk,pending,absent,no-meal,0.0,1.0,3.0
s10855,karthik rao,male,2026-05-29,17,pune,arts,career fair,2026-04-28,campus desk,pending,registered,no-meal,300.0,3.0,3.0
s12630,keerthi rao,other,2026-07-02,27,kochi,management,cultural fest,2026-01-21,website,waived,cancelled,no-meal,500.0,4.0,3.0
s11107,vijay menon,male,2026-05-01,18,bengaluru,computer science,hackathon,2026-07-03,campus desk,refunded,registered,vegan,750.0,2.5,1.0
s11758,vijay menon,male,2026-02-02,23,mysuru,commerce,sports meet,2026-11-01,campus desk,refunded,absent,no-meal,250.0,1.5,3.0
s11596,naveen sharma,male,2026-07-16,17,mysuru,commerce,hackathon,2026-06-18,email,waived,attended,non-vegetarian,250.0,3.0,1.0
s10692,arun kumar,male,2026-12-02,19,madurai,arts,seminar,2026-11-01,mobile app,pending,absent,no-meal,750.0,2.0,2.0
s12238,keerthi rao,female,2026-02-16,23,chennai,management,sports meet,2026-08-02,walk-in,paid,registered,non-vegetarian,0.0,1.0,3.0
s11534,rahul menon,other,2026-02-26,20,bengaluru,commerce,cultural fest,2026-04-02,website,refunded,absent,no-meal,150.0,1.5,2.0
s11226,harini iyer,unknown,2026-05-03,21,hyderabad,arts,workshop,2026-04-17,campus desk,waived,attended,no-meal,750.0,3.0,3.0
s11021,naveen sharma,female,2026-04-09,17,salem,civil engineering,sports meet,2026-03-16,website,pending,attended,no-meal,750.0,3.0,3.0
s10539,divya iyer,male,2026-06-18,23,coimbatore,management,sports meet,2026-05-27,website,waived,registered,vegetarian,500.0,4.0,5.0
s11593,meena patel,other,2026-07-01,25,mysuru,mechanical,hackathon,2026-06-27,email,pending,absent,vegetarian,300.0,2.5,2.0
s11423,lakshmi rao,female,2026-08-02,18,mysuru,computer science,career fair,2026-12-07,campus desk,paid,cancelled,vegan,200.0,2.5,3.0
s11004,suresh kumar,female,2026-05-01,18,chennai,arts,cultural fest,2026-04-16,website,pending,registered,non-vegetarian,150.0,2.0,3.0
s10487,priya sharma,other,2026-03-21,23,mysuru,electronics,workshop,2026-01-25,website,paid,attended,vegetarian,200.0,2.5,5.0
s10162,ravi patel,female,2026-07-27,20,mysuru,management,cultural fest,2026-08-06,email,pending,attended,vegetarian,250.0,1.0,3.0
s10754,arun kumar,female,2026-05-06,24,madurai,arts,hackathon,2026-03-21,walk-in,waived,registered,vegan,250.0,1.5,2.0
s11365,manoj kumar,female,2026-01-04,17,kochi,electronics,workshop,2026-02-02,walk-in,refunded,absent,vegetarian,200.0,4.0,3.0
s12649,pooja das,female,2026-08-05,22,coimbatore,commerce,workshop,2026-06-18,campus desk,paid,absent,vegan,500.0,2.5,1.0
s12124,rahul menon,male,2026-03-25,24,kochi,arts,career fair,2026-07-02,website,pending,cancelled,non-vegetarian,0.0,2.0,1.0
s12965,arun kumar,male,2026-07-03,23,mysuru,commerce,career fair,2026-04-06,campus desk,refunded,cancelled,non-vegetarian,200.0,1.5,5.0
s12017,lakshmi rao,male,2026-05-01,26,trichy,computer science,sports meet,2026-03-22,email,pending,attended,no-meal,500.0,2.5,3.0
s10492,anitha nair,male,2026-07-12,22,chennai,mechanical,career fair,2026-05-23,email,pending,registered,no-meal,500.0,1.5,3.0
s12564,pooja das,male,2026-04-16,24,trichy,unknown,sports meet,2026-11-03,walk-in,pending,cancelled,non-vegetarian,750.0,3.0,3.0
s10782,ajay nair,other,2026-03-30,24,madurai,commerce,hackathon,2026-03-28,walk-in,waived,attended,vegetarian,0.0,4.0,2.0
s10999,deepa sharma,male,2026-06-04,21,pune,electronics,workshop,2026-04-14,walk-in,refunded,registered,non-vegetarian,250.0,4.0,3.0
s10886,pooja das,male,2026-05-06,21,mysuru,civil engineering,hackathon,2026-03-05,website,waived,attended,no-meal,500.0,3.0,3.0
s10035,pooja das,other,2026-08-30,26,hyderabad,mechanical,hackathon,2026-10-08,mobile app,waived,attended,vegetarian,500.0,2.5,2.0
s11019,vikram das,female,2026-07-26,20,coimbatore,civil engineering,hackathon,2026-06-30,mobile app,pending,registered,vegan,200.0,3.0,3.0
s10624,harini iyer,male,2026-06-28,23,hyderabad,mechanical,sports meet,2026-10-05,unknown,waived,attended,no-meal,300.0,6.0,3.0
s12669,manoj kumar,male,2026-07-13,21,pune,electronics,sports meet,2026-06-19,email,pending,registered,vegan,200.0,4.0,3.0
s10304,naveen sharma,male,2026-04-29,17,trichy,arts,seminar,2026-03-04,email,waived,absent,no-meal,0.0,2.0,5.0
s12179,deepa sharma,male,2026-06-12,18,unknown,civil engineering,career fair,2026-07-06,campus desk,waived,cancelled,vegan,0.0,2.5,4.0
s12964,deepa sharma,male,2026-04-18,26,mysuru,arts,cultural fest,2026-06-03,campus desk,refunded,registered,vegan,500.0,4.0,3.0
s12388,deepa sharma,male,2026-06-04,20,mysuru,electronics,career fair,2026-05-13,campus desk,pending,cancelled,vegan,100.0,6.0,2.0
s11243,swetha menon,other,2026-02-21,27,coimbatore,arts,cultural fest,2026-01-31,mobile app,paid,absent,no-meal,100.0,2.0,3.0
s11185,ravi patel,male,2026-05-13,19,hyderabad,arts,workshop,2026-04-16,mobile app,pending,attended,vegan,200.0,2.5,3.0
s11524,meena patel,male,2026-06-22,26,hyderabad,electronics,seminar,2026-12-06,website,pending,registered,unknown,300.0,4.0,3.0
s10592,meena patel,other,2026-03-02,19,hyderabad,unknown,workshop,2026-04-02,mobile app,pending,cancelled,vegetarian,100.0,6.0,3.0
s12407,harini iyer,male,2026-02-22,21,chennai,management,workshop,2025-12-28,email,refunded,absent,non-vegetarian,150.0,1.5,3.0
s10823,harini iyer,other,2026-04-16,20,unknown,electronics,sports meet,2026-02-22,campus desk,waived,attended,vegetarian,100.0,3.0,3.0
s10437,manoj kumar,female,2026-05-05,19,mysuru,mechanical,workshop,2026-04-18,website,pending,registered,vegetarian,750.0,2.5,1.0
s12294,harini iyer,other,2026-06-19,25,hyderabad,commerce,hackathon,2026-07-06,mobile app,refunded,absent,vegan,200.0,6.0,2.0
s12721,manoj kumar,male,2026-08-31,23,mysuru,management,seminar,2026-08-08,walk-in,paid,cancelled,vegan,250.0,2.5,3.0
s11429,lakshmi rao,male,2026-05-18,20,trichy,electronics,cultural fest,2026-03-19,campus desk,refunded,registered,unknown,750.0,4.0,5.0
s10027,anitha nair,male,2026-04-21,27,madurai,computer science,seminar,2026-02-23,mobile app,refunded,attended,no-meal,200.0,2.5,3.0
s10510,deepa sharma,male,2026-06-24,18,bengaluru,management,cultural fest,2026-04-26,mobile app,pending,absent,vegan,200.0,2.5,4.0
s10898,vikram das,male,2026-04-14,18,hyderabad,commerce,workshop,2026-03-24,campus desk,paid,cancelled,no-meal,150.0,1.5,1.0
s12028,vikram das,other,1900-01-01,17,madurai,commerce,hackathon,2026-07-17,walk-in,refunded,absent,no-meal,200.0,1.5,2.0
s11597,deepa sharma,female,2026-07-26,20,trichy,commerce,workshop,2026-01-06,website,refunded,registered,vegetarian,300.0,1.0,3.0
s11127,arun kumar,other,2026-01-05,22,kochi,unknown,hackathon,2025-12-18,walk-in,paid,registered,vegetarian,200.0,2.5,2.0
s12076,ajay nair,other,2026-08-24,27,chennai,commerce,seminar,2026-07-07,website,paid,attended,vegan,500.0,3.0,4.0
s10250,rahul menon,other,2026-04-12,27,pune,computer science,sports meet,2026-03-17,walk-in,paid,absent,no-meal,200.0,2.5,2.0
s11536,arun kumar,other,2026-08-16,18,chennai,management,workshop,2026-07-31,email,waived,registered,non-vegetarian,200.0,2.5,3.0
s11776,deepa sharma,other,2026-11-07,26,chennai,computer science,workshop,2026-06-27,walk-in,refunded,attended,vegetarian,150.0,2.5,5.0
s10025,divya iyer,other,2026-02-23,27,hyderabad,electronics,sports meet,2026-01-27,walk-in,refunded,absent,non-vegetarian,500.0,4.0,2.0
s11072,rahul menon,other,2026-08-31,26,mysuru,mechanical,workshop,2026-08-08,website,refunded,registered,non-vegetarian,200.0,6.0,3.0
s12305,keerthi rao,other,2026-07-05,18,kochi,management,seminar,2026-06-28,campus desk,waived,registered,vegetarian,200.0,2.5,3.0
s11258,karthik rao,female,1900-01-01,23,salem,commerce,seminar,2026-04-15,mobile app,refunded,attended,non-vegetarian,500.0,2.5,1.0
s10339,karthik rao,male,2026-05-25,21,coimbatore,computer science,hackathon,2026-04-05,campus desk,paid,registered,vegan,150.0,4.0,3.0
s10553,harini iyer,male,2026-06-16,27,mysuru,electronics,workshop,2026-02-05,mobile app,pending,attended,vegan,200.0,2.5,3.0
s12053,meena patel,other,2026-04-21,17,bengaluru,arts,cultural fest,2026-03-19,mobile app,waived,cancelled,no-meal,300.0,6.0,3.0
s12814,meena patel,female,2026-05-27,21,trichy,computer science,career fair,2026-09-04,unknown,paid,absent,vegan,0.0,1.5,3.0
s11941,swetha menon,male,2026-03-07,27,hyderabad,management,seminar,2026-03-02,email,pending,absent,non-vegetarian,750.0,2.0,3.0
s11826,vikram das,female,2026-07-14,19,chennai,arts,workshop,2026-11-06,walk-in,refunded,registered,vegetarian,150.0,4.0,3.0
s11747,ajay nair,male,2026-02-23,19,trichy,electronics,cultural fest,2026-05-01,website,refunded,attended,non-vegetarian,0.0,2.5,1.0
s12055,deepa sharma,female,2026-01-14,26,madurai,commerce,seminar,2025-11-12,website,pending,attended,no-meal,300.0,4.0,1.0
s11535,deepa sharma,female,2026-02-03,24,coimbatore,civil engineering,workshop,2026-02-01,email,waived,absent,no-meal,100.0,1.0,3.0
s12421,deepa sharma,male,2026-08-06,21,trichy,commerce,workshop,2026-06-24,email,refunded,cancelled,no-meal,750.0,1.5,3.0
s12178,harini iyer,other,2026-04-23,23,hyderabad,mechanical,career fair,2026-03-03,campus desk,pending,absent,vegetarian,750.0,2.0,1.0
s11504,ravi patel,male,2026-06-08,20,mysuru,electronics,sports meet,2026-03-06,unknown,waived,cancelled,non-vegetarian,100.0,1.0,4.0
s11471,suresh kumar,female,2026-07-22,22,kochi,electronics,workshop,2026-05-28,website,pending,registered,non-vegetarian,100.0,2.5,3.0
s11342,arun kumar,male,2026-02-22,18,trichy,mechanical,sports meet,2026-11-02,walk-in,pending,cancelled,vegetarian,100.0,2.0,3.0
s12482,meena patel,other,2026-10-02,27,madurai,commerce,career fair,2026-01-14,website,waived,cancelled,vegetarian,150.0,6.0,3.0
s12281,ajay nair,other,2026-03-20,18,bengaluru,computer science,cultural fest,2026-01-03,mobile app,pending,attended,vegan,250.0,1.5,4.0
s11602,naveen sharma,male,2026-07-31,24,chennai,mechanical,cultural fest,2026-07-26,email,pending,absent,vegan,200.0,6.0,2.0
s11873,meena patel,male,2026-08-15,23,trichy,electronics,cultural fest,2026-07-07,walk-in,refunded,absent,non-vegetarian,200.0,2.5,4.0
s10369,vijay menon,other,2026-07-29,23,coimbatore,computer science,sports meet,2026-07-16,website,refunded,registered,vegetarian,200.0,2.5,3.0
s12899,vijay menon,female,2026-08-19,23,trichy,arts,workshop,2026-07-24,walk-in,refunded,absent,vegetarian,200.0,2.5,1.0
s12233,harini iyer,male,2026-03-07,18,madurai,arts,workshop,2026-01-28,mobile app,paid,attended,non-vegetarian,300.0,1.5,2.0
s11531,anitha nair,other,2026-04-11,24,unknown,management,cultural fest,2026-03-23,email,paid,cancelled,vegan,200.0,2.5,2.0
s10062,pooja das,female,2026-01-08,25,bengaluru,civil engineering,seminar,2025-12-22,email,waived,attended,no-meal,100.0,2.5,3.0
s11895,anitha nair,other,2026-08-21,19,hyderabad,management,career fair,2026-07-24,walk-in,refunded,registered,vegan,200.0,2.5,3.0
s10191,ajay nair,female,2026-03-27,20,salem,electronics,cultural fest,2026-02-16,email,waived,registered,vegetarian,200.0,2.5,3.0
s12874,priya sharma,female,2026-07-11,18,mysuru,management,career fair,2026-08-07,email,paid,attended,vegetarian,150.0,2.0,3.0
s10408,deepa sharma,unknown,2026-06-06,23,unknown,mechanical,career fair,2026-12-04,walk-in,pending,absent,non-vegetarian,100.0,1.5,4.0
s11445,pooja das,male,2026-06-22,18,mysuru,arts,hackathon,2026-02-06,email,waived,absent,vegetarian,500.0,4.0,3.0
s11264,suresh kumar,female,2026-05-25,24,chennai,electronics,seminar,2026-04-24,campus desk,paid,cancelled,non-vegetarian,300.0,3.0,2.0
s11472,karthik rao,other,2026-01-03,26,kochi,computer science,workshop,2026-02-24,mobile app,refunded,registered,unknown,300.0,4.0,3.0
s12536,pooja das,female,2026-03-26,17,salem,unknown,workshop,2026-09-03,walk-in,waived,registered,vegetarian,300.0,1.0,3.0
s10268,deepa sharma,other,2026-04-09,25,pune,electronics,sports meet,2026-04-03,mobile app,refunded,cancelled,non-vegetarian,750.0,2.0,3.0
s10284,rahul menon,male,2026-08-06,23,bengaluru,electronics,seminar,2026-04-27,walk-in,waived,absent,vegan,250.0,2.5,3.0
s12830,priya sharma,female,2026-03-09,23,coimbatore,mechanical,seminar,2026-02-23,walk-in,refunded,absent,no-meal,150.0,3.0,4.0
s10231,arun kumar,other,2026-08-05,27,salem,arts,career fair,2026-04-15,walk-in,paid,cancelled,non-vegetarian,500.0,1.5,5.0
s11520,pooja das,female,2026-08-30,23,chennai,commerce,workshop,2026-08-15,mobile app,refunded,cancelled,vegetarian,100.0,2.0,5.0
s10660,naveen sharma,other,2026-04-06,25,coimbatore,management,career fair,2026-02-25,mobile app,pending,cancelled,vegan,150.0,6.0,1.0
s10090,arun kumar,male,2026-03-03,22,kochi,commerce,workshop,2026-01-03,mobile app,refunded,attended,vegan,100.0,6.0,3.0
s12737,ajay nair,female,2026-04-01,20,mysuru,management,cultural fest,2026-02-27,campus desk,waived,registered,vegan,500.0,1.0,5.0
s12492,anitha nair,other,2026-03-02,18,bengaluru,management,hackathon,2026-01-30,campus desk,refunded,cancelled,vegetarian,250.0,2.5,3.0
s10703,harini iyer,female,2026-10-02,27,madurai,electronics,cultural fest,2025-12-20,campus desk,paid,absent,vegan,100.0,1.0,3.0
s11026,manoj kumar,other,2026-02-07,25,chennai,management,sports meet,2026-01-22,email,paid,absent,vegan,300.0,2.5,2.0
s11096,manoj kumar,other,2026-01-08,27,pune,computer science,career fair,2025-11-27,campus desk,pending,absent,vegetarian,300.0,1.5,5.0
s12114,karthik rao,female,1900-01-01,19,chennai,civil engineering,workshop,2026-08-17,website,paid,cancelled,vegan,0.0,3.0,3.0
s12089,pooja das,male,2026-05-20,22,chennai,civil engineering,workshop,2026-05-18,mobile app,refunded,cancelled,non-vegetarian,750.0,2.5,4.0
s12458,karthik rao,female,2026-05-19,19,madurai,commerce,hackathon,2026-05-17,walk-in,refunded,registered,vegetarian,200.0,2.5,1.0
s12208,pooja das,female,2026-07-17,24,mysuru,management,workshop,2026-05-22,mobile app,waived,registered,non-vegetarian,750.0,4.0,3.0
